SG GRm,,
,,
Timeline,SG GRM (USD/bbl)(Solid),LT average(Dotted)
Jan-06,3,5.9
Mar-06,8,5.9
Aug-06,4,5.9
May-07,10,5.9
Dec-07,11,5.9
Jun-08,9,5.9
Nov-08,6,5.9
Feb-09,3,5.9
May-09,2,5.9
Mar-10,4,5.9
Jul-10,4,5.9
Jan-11,5,5.9
Mar-11,4,5.9
Apr-12,6,5.9
Sep-12,7,5.9
Jan-13,9,5.9
Aug-13,10,5.9
Mar-14,7,5.9
Oct-14,4,5.9
Jan-15,5,5.9
Oct-15,4,5.9
May-16,3,5.9
Dec-17,5,5.9
Nov-18,8,5.9
Jun-19,2,5.9
Jan-20,5,5.9
Aug-20,2,5.9
Mar-21,1,5.9
Oct-21,5.9,5.9
May-22,25,5.9
Dec-22,11,5.9
Jul-23,12,5.9
Feb-24,8.3,5.9
