One Year Forward P/E,,,,,,
,,,,,,
Timeline,P/E  in unit (blue ; solid),Avg in unit(green ; solid) ,Max in unit (dark blue; solid),Min in unit (red;solid), (+1SD) in unit  [blue;dashed],(-1SD) in unit [dark red;dashed]
Sep-20,11,12.7,23,6.9,18,9.5
Jan-21,16,12.7,23,6.9,18,9.5
May-21,41,12.7,23,6.9,18,9.5
Sep-21,21,12.7,23,6.9,18,9.5
Dec-21,46,12.7,23,6.9,18,9.5
Apr-22,20,12.7,23,6.9,18,9.5
Aug-22,19,12.7,23,6.9,18,9.5
Nov-22,12,12.7,23,6.9,18,9.5
Mar-23,18,12.7,23,6.9,18,9.5
Jul-23,30.2,12.7,23,6.9,18,9.5
Nov-23,12.7,12.7,23,6.9,18,9.5
