One year forward ,,,,,,
,,,,,,
Timeline,P/E  in unit (blue ; solid),Avg in unit(green ; solid) ,Max in unit (dark blue; solid),Min in unit (red;solid), (+1SD) in unit  [blue;dashed],(-1SD) in unit [dark red;dashed]
Feb--14,0.8,1.7,2.9,0.7,2.1,1.2
May-15,1.2,1.7,2.9,0.7,2.1,1.2
Aug-16,1.8,1.7,2.9,0.7,2.1,1.2
Nov-17,3,1.7,2.9,0.7,2.1,1.2
Feb-19,1.1,1.7,2.9,0.7,2.1,1.2
May-20,0.9,1.7,2.9,0.7,2.1,1.2
Aug-21,2,1.7,2.9,0.7,2.1,1.2
Nov-22,1.1,1.7,2.9,0.7,2.1,1.2
Feb-24,2.4,1.7,2.9,0.7,2.1,1.2
,,,,,,
,,,,,,
